vacancies indexes;symmetries
(6, 48);['m_010', 'm_101', '2_-101']
(6, 52);['m_001', 'm_110', '2_-110']
(7, 27);['m_010', 'm_101', '2_-101']
(7, 47);['m_010', 'm_101', '2_-101']
(7, 67);['m_010', 'm_101', '2_-101']
(7, 89);['m_100', 'm_010', '2_001']
(8, 86);['c_000', 'm_011', '2_011']
(8, 90);['m_100', 'm_011', '2_0-11']
(9, 85);['c_000', 'm_0-11', '2_0-11']
(9, 91);['m_100', 'm_0-11', '2_011']
(10, 12);['m_001', 'm_110', '2_-110']
(10, 82);['m_110', 'm_-110', '2_001']
(10, 92);['m_100', 'm_011', '2_0-11']
(10, 94);['m_101', 'm_-101', '2_010']
(11, 29);['m_001', 'm_110', '2_-110']
(11, 47);['m_001', 'm_110', '2_-110']
(11, 65);['m_001', 'm_110', '2_-110']
(11, 93);['m_100', 'm_001', '2_010']
(12, 84);['m_110', 'm_-110', '2_001']
(12, 92);['m_101', 'm_-101', '2_010']
(12, 94);['m_100', 'm_0-11', '2_011']
(13, 20);['m_011', 'm_0-11', '2_100']
(13, 75);['m_101', 'm_-101', '2_010']
(13, 80);['m_110', 'm_-110', '2_001']
(13, 93);['m_001', 'm_-110', '2_110']
(14, 81);['m_110', 'm_-110', '2_001']
(14, 93);['m_001', 'm_-110', '2_110']
(15, 18);['m_011', 'm_0-11', '2_100']
(16, 76);['m_101', 'm_-101', '2_010']
(17, 79);['m_101', 'm_-101', '2_010']
(19, 74);['m_110', 'm_-110', '2_001']
(20, 75);['m_110', 'm_-110', '2_001']
(20, 80);['m_101', 'm_-101', '2_010']
(21, 31);['m_010', 'm_-101', '2_101']
(21, 63);['m_101', 'm_-101', '2_010']
(21, 73);['c_000', 'm_-101', '2_-101']
(22, 32);['m_010', 'm_101', '2_-101']
(22, 62);['m_101', 'm_-101', '2_010']
(22, 72);['c_000', 'm_101', '2_101']
(23, 25);['m_001', 'm_-110', '2_110']
(23, 69);['m_110', 'm_-110', '2_001']
(23, 71);['c_000', 'm_-110', '2_-110']
(24, 29);['m_010', 'm_001', '2_100']
(24, 47);['m_001', 'm_-110', '2_110']
(24, 65);['m_100', 'm_001', '2_010']
(24, 93);['m_001', 'm_-110', '2_110']
(25, 69);['c_000', 'm_-110', '2_-110']
(25, 71);['m_110', 'm_-110', '2_001']
(26, 27);['m_010', 'm_001', '2_100']
(26, 47);['m_010', 'm_-101', '2_101']
(26, 67);['m_100', 'm_010', '2_001']
(26, 89);['m_010', 'm_-101', '2_101']
(27, 47);['m_010', 'm_101', '2_-101']
(27, 68);['m_100', 'm_010', '2_001']
(27, 87);['m_010', 'm_101', '2_-101']
(28, 30);['m_001', 'm_110', '2_-110']
(28, 64);['m_110', 'm_-110', '2_001']
(28, 66);['c_000', 'm_110', '2_110']
(29, 47);['m_001', 'm_110', '2_-110']
(29, 70);['m_100', 'm_001', '2_010']
(29, 83);['m_001', 'm_110', '2_-110']
(30, 64);['c_000', 'm_110', '2_110']
(30, 66);['m_110', 'm_-110', '2_001']
(31, 63);['c_000', 'm_-101', '2_-101']
(31, 73);['m_101', 'm_-101', '2_010']
(32, 62);['c_000', 'm_101', '2_101']
(32, 72);['m_101', 'm_-101', '2_010']
(33, 55);['m_101', 'm_-101', '2_010']
(34, 39);['m_011', 'm_0-11', '2_100']
(35, 58);['m_110', 'm_-110', '2_001']
(35, 93);['m_001', 'm_-110', '2_110']
(36, 37);['m_011', 'm_0-11', '2_100']
(36, 56);['m_101', 'm_-101', '2_010']
(36, 59);['m_110', 'm_-110', '2_001']
(36, 93);['m_001', 'm_-110', '2_110']
(37, 56);['m_110', 'm_-110', '2_001']
(37, 59);['m_101', 'm_-101', '2_010']
(38, 57);['m_110', 'm_-110', '2_001']
(40, 60);['m_101', 'm_-101', '2_010']
(41, 43);['m_100', 'm_001', '2_010']
(41, 44);['m_100', 'm_0-11', '2_011']
(41, 47);['m_100', 'm_0-11', '2_011']
(41, 50);['m_100', 'm_0-11', '2_011']
(41, 51);['m_100', 'm_010', '2_001']
(42, 46);['m_100', 'm_0-11', '2_011']
(42, 48);['m_100', 'm_011', '2_0-11']
(42, 88);['m_001', 'm_110', '2_-110']
(43, 45);['m_100', 'm_011', '2_0-11']
(43, 47);['m_100', 'm_011', '2_0-11']
(43, 49);['m_100', 'm_011', '2_0-11']
(43, 53);['m_100', 'm_010', '2_001']
(44, 45);['m_100', 'm_001', '2_010']
(44, 47);['m_100', 'm_0-11', '2_011']
(44, 49);['m_100', 'm_010', '2_001']
(44, 53);['m_100', 'm_0-11', '2_011']
(45, 47);['m_100', 'm_011', '2_0-11']
(45, 50);['m_100', 'm_010', '2_001']
(45, 51);['m_100', 'm_011', '2_0-11']
(46, 52);['m_100', 'm_011', '2_0-11']
(46, 88);['m_010', 'm_101', '2_-101']
(47, 49);['m_100', 'm_011', '2_0-11']
(47, 50);['m_100', 'm_0-11', '2_011']
(47, 51);['m_100', 'm_011', '2_0-11']
(47, 53);['m_100', 'm_0-11', '2_011']
(47, 65);['m_001', 'm_110', '2_-110']
(47, 67);['m_010', 'm_101', '2_-101']
(47, 68);['m_010', 'm_-101', '2_101']
(47, 70);['m_001', 'm_-110', '2_110']
(47, 83);['m_001', 'm_110', '2_-110']
(47, 87);['m_010', 'm_101', '2_-101']
(47, 89);['m_010', 'm_-101', '2_101']
(47, 93);['m_001', 'm_-110', '2_110']
(48, 52);['m_100', 'm_0-11', '2_011']
(48, 88);['m_010', 'm_-101', '2_101']
(49, 50);['m_100', 'm_001', '2_010']
(49, 51);['m_100', 'm_011', '2_0-11']
(50, 53);['m_100', 'm_0-11', '2_011']
(51, 53);['m_100', 'm_001', '2_010']
(52, 88);['m_001', 'm_-110', '2_110']
(54, 61);['m_011', 'm_0-11', '2_100']
(56, 59);['m_011', 'm_0-11', '2_100']
(58, 93);['m_001', 'm_-110', '2_110']
(59, 93);['m_001', 'm_-110', '2_110']
(62, 72);['m_010', 'm_101', '2_-101']
(63, 73);['m_010', 'm_-101', '2_101']
(64, 66);['m_001', 'm_110', '2_-110']
(65, 70);['m_010', 'm_001', '2_100']
(65, 83);['m_001', 'm_110', '2_-110']
(67, 68);['m_010', 'm_001', '2_100']
(67, 87);['m_010', 'm_101', '2_-101']
(68, 89);['m_010', 'm_-101', '2_101']
(69, 71);['m_001', 'm_-110', '2_110']
(70, 93);['m_001', 'm_-110', '2_110']
(75, 80);['m_011', 'm_0-11', '2_100']
(77, 78);['m_011', 'm_0-11', '2_100']
(80, 93);['m_001', 'm_-110', '2_110']
(81, 93);['m_001', 'm_-110', '2_110']
(82, 84);['m_001', 'm_110', '2_-110']
(82, 92);['m_010', 'm_101', '2_-101']
(82, 94);['m_011', 'm_0-11', '2_100']
(83, 93);['m_010', 'm_001', '2_100']
(84, 92);['m_011', 'm_0-11', '2_100']
(84, 94);['m_010', 'm_-101', '2_101']
(85, 91);['m_011', 'm_0-11', '2_100']
(86, 90);['m_011', 'm_0-11', '2_100']
(87, 89);['m_010', 'm_001', '2_100']
(92, 94);['m_001', 'm_-110', '2_110']
(15, 93);['m_001', '2_110']
(16, 93);['m_001', '2_110']
(17, 93);['m_001', '2_110']
(18, 93);['m_001', '2_110']
(19, 93);['m_001', '2_110']
(20, 93);['m_001', '2_110']
(33, 93);['m_001', '2_110']
(34, 93);['m_001', '2_110']
(37, 93);['m_001', '2_110']
(38, 93);['m_001', '2_110']
(39, 93);['m_001', '2_110']
(40, 93);['m_001', '2_110']
(54, 93);['m_001', '2_110']
(55, 93);['m_001', '2_110']
(56, 93);['m_001', '2_110']
(57, 93);['m_001', '2_110']
(60, 93);['m_001', '2_110']
(61, 93);['m_001', '2_110']
(74, 93);['m_001', '2_110']
(75, 93);['m_001', '2_110']
(76, 93);['m_001', '2_110']
(77, 93);['m_001', '2_110']
(78, 93);['m_001', '2_110']
(79, 93);['m_001', '2_110']
(0, 1);['m_-110']
(0, 3);['m_0-11']
(0, 5);['m_-101']
(0, 6);['m_0-11']
(0, 9);['m_0-11']
(0, 14);['m_-110']
(0, 15);['m_0-11']
(0, 17);['m_-101']
(0, 18);['m_0-11']
(0, 20);['m_0-11']
(0, 21);['m_-101']
(0, 23);['m_-110']
(0, 24);['m_-110']
(0, 25);['m_-110']
(0, 26);['m_-101']
(0, 31);['m_-101']
(0, 33);['m_-101']
(0, 35);['m_-110']
(0, 36);['m_-110']
(0, 37);['m_-101']
(0, 41);['m_0-11']
(0, 42);['m_-101']
(0, 44);['m_0-11']
(0, 46);['m_-110']
(0, 48);['m_-110']
(0, 50);['m_0-11']
(0, 52);['m_-101']
(0, 53);['m_0-11']
(0, 54);['m_0-11']
(0, 55);['m_-101']
(0, 56);['m_0-11']
(0, 58);['m_-110']
(0, 61);['m_0-11']
(0, 63);['m_-101']
(0, 68);['m_-101']
(0, 69);['m_-110']
(0, 70);['m_-110']
(0, 71);['m_-110']
(0, 73);['m_-101']
(0, 75);['m_-101']
(0, 79);['m_-101']
(0, 80);['m_-110']
(0, 81);['m_-110']
(0, 85);['m_0-11']
(0, 88);['m_0-11']
(0, 89);['m_-101']
(0, 91);['m_0-11']
(0, 93);['m_-110']
(1, 2);['m_-110']
(1, 5);['m_0-11']
(1, 6);['m_001']
(1, 7);['m_011']
(1, 13);['m_-110']
(1, 14);['m_-110']
(1, 23);['m_-110']
(1, 25);['m_-110']
(1, 29);['m_001']
(1, 35);['m_-110']
(1, 36);['m_-110']
(1, 41);['m_-101']
(1, 42);['m_001']
(1, 43);['m_101']
(1, 46);['m_-110']
(1, 48);['m_-110']
(1, 51);['2_101']
(1, 52);['m_001']
(1, 53);['2_-101']
(1, 58);['m_-110']
(1, 59);['m_-110']
(1, 65);['m_001']
(1, 69);['m_-110']
(1, 71);['m_-110']
(1, 80);['m_-110']
(1, 81);['m_-110']
(1, 87);['2_011']
(1, 88);['m_001']
(1, 89);['2_0-11']
(1, 92);['m_-110']
(1, 94);['m_-110']
(2, 4);['m_011']
(2, 6);['m_011']
(2, 7);['m_101']
(2, 8);['m_011']
(2, 13);['m_-110']
(2, 14);['m_-110']
(2, 16);['m_101']
(2, 20);['m_101']
(2, 22);['m_101']
(2, 23);['m_-110']
(2, 24);['m_-110']
(2, 25);['m_-110']
(2, 27);['m_101']
(2, 32);['m_101']
(2, 34);['m_011']
(2, 35);['m_-110']
(2, 37);['m_011']
(2, 39);['m_011']
(2, 40);['m_101']
(2, 42);['m_101']
(2, 43);['m_011']
(2, 45);['m_011']
(2, 46);['m_-110']
(2, 48);['m_-110']
(2, 49);['m_011']
(2, 51);['m_011']
(2, 52);['m_101']
(2, 56);['m_101']
(2, 58);['m_-110']
(2, 59);['m_-110']
(2, 60);['m_101']
(2, 62);['m_101']
(2, 67);['m_101']
(2, 69);['m_-110']
(2, 70);['m_-110']
(2, 71);['m_-110']
(2, 72);['m_101']
(2, 75);['m_011']
(2, 76);['m_101']
(2, 77);['m_011']
(2, 78);['m_011']
(2, 81);['m_-110']
(2, 86);['m_011']
(2, 87);['m_101']
(2, 88);['m_011']
(2, 90);['m_011']
(2, 93);['m_-110']
(3, 4);['m_001']
(3, 6);['m_0-11']
(3, 8);['m_010']
(3, 12);['m_0-11']
(3, 13);['m_0-11']
(3, 15);['m_0-11']
(3, 18);['m_0-11']
(3, 20);['m_0-11']
(3, 21);['m_-110']
(3, 22);['2_110']
(3, 23);['m_-101']
(3, 28);['2_101']
(3, 41);['m_0-11']
(3, 44);['m_0-11']
(3, 47);['m_0-11']
(3, 50);['m_0-11']
(3, 53);['m_0-11']
(3, 54);['m_0-11']
(3, 56);['m_0-11']
(3, 59);['m_0-11']
(3, 61);['m_0-11']
(3, 66);['m_101']
(3, 71);['2_-101']
(3, 72);['m_110']
(3, 73);['2_-110']
(3, 82);['m_0-11']
(3, 86);['2_010']
(3, 88);['m_0-11']
(3, 90);['2_001']
(3, 94);['m_0-11']
(4, 6);['m_011']
(4, 9);['m_010']
(4, 10);['m_011']
(4, 21);['2_110']
(4, 22);['m_-110']
(4, 25);['m_101']
(4, 30);['2_-101']
(4, 34);['m_011']
(4, 36);['m_011']
(4, 37);['m_011']
(4, 39);['m_011']
(4, 43);['m_011']
(4, 45);['m_011']
(4, 47);['m_011']
(4, 49);['m_011']
(4, 51);['m_011']
(4, 64);['m_-101']
(4, 69);['2_101']
(4, 72);['2_-110']
(4, 73);['m_110']
(4, 75);['m_011']
(4, 77);['m_011']
(4, 78);['m_011']
(4, 80);['m_011']
(4, 84);['m_011']
(4, 85);['2_010']
(4, 88);['m_011']
(4, 91);['2_001']
(4, 92);['m_011']
(5, 6);['m_010']
(5, 10);['m_-101']
(5, 11);['m_011']
(5, 13);['m_-101']
(5, 17);['m_-101']
(5, 21);['m_-101']
(5, 27);['m_010']
(5, 31);['m_-101']
(5, 33);['m_-101']
(5, 37);['m_-101']
(5, 41);['m_-110']
(5, 42);['m_-101']
(5, 43);['2_110']
(5, 46);['m_010']
(5, 48);['m_010']
(5, 51);['m_110']
(5, 52);['m_-101']
(5, 53);['2_-110']
(5, 55);['m_-101']
(5, 59);['m_-101']
(5, 63);['m_-101']
(5, 67);['m_010']
(5, 73);['m_-101']
(5, 75);['m_-101']
(5, 79);['m_-101']
(5, 83);['2_011']
(5, 84);['m_-101']
(5, 88);['m_010']
(5, 93);['2_0-11']
(5, 94);['m_-101']
(6, 7);['m_010']
(6, 8);['m_011']
(6, 9);['m_0-11']
(6, 10);['m_011']
(6, 11);['m_001']
(6, 12);['m_0-11']
(6, 13);['m_0-11']
(6, 15);['m_0-11']
(6, 18);['m_0-11']
(6, 20);['m_0-11']
(6, 24);['m_001']
(6, 26);['m_010']
(6, 27);['m_010']
(6, 29);['m_001']
(6, 34);['m_011']
(6, 36);['m_011']
(6, 37);['m_011']
(6, 39);['m_011']
(6, 41);['m_0-11']
(6, 43);['m_011']
(6, 44);['m_0-11']
(6, 45);['m_011']
(6, 49);['m_011']
(6, 50);['m_0-11']
(6, 51);['m_011']
(6, 53);['m_0-11']
(6, 54);['m_0-11']
(6, 56);['m_0-11']
(6, 59);['m_0-11']
(6, 61);['m_0-11']
(6, 65);['m_001']
(6, 67);['m_010']
(6, 68);['m_010']
(6, 70);['m_001']
(6, 75);['m_011']
(6, 77);['m_011']
(6, 78);['m_011']
(6, 80);['m_011']
(6, 82);['m_0-11']
(6, 83);['m_001']
(6, 84);['m_011']
(6, 85);['m_0-11']
(6, 86);['m_011']
(6, 87);['m_010']
(6, 89);['m_010']
(6, 90);['m_011']
(6, 91);['m_0-11']
(6, 92);['m_011']
(6, 93);['m_001']
(6, 94);['m_0-11']
(7, 11);['m_0-11']
(7, 12);['m_101']
(7, 16);['m_101']
(7, 20);['m_101']
(7, 22);['m_101']
(7, 26);['m_010']
(7, 32);['m_101']
(7, 36);['m_101']
(7, 40);['m_101']
(7, 41);['2_110']
(7, 42);['m_101']
(7, 43);['m_-110']
(7, 46);['m_010']
(7, 48);['m_010']
(7, 51);['2_-110']
(7, 52);['m_101']
(7, 53);['m_110']
(7, 56);['m_101']
(7, 60);['m_101']
(7, 62);['m_101']
(7, 68);['m_010']
(7, 72);['m_101']
(7, 76);['m_101']
(7, 80);['m_101']
(7, 82);['m_101']
(7, 83);['2_0-11']
(7, 88);['m_010']
(7, 92);['m_101']
(7, 93);['2_011']
(8, 9);['m_001']
(8, 10);['m_011']
(8, 23);['2_101']
(8, 28);['m_-101']
(8, 31);['m_110']
(8, 32);['2_-110']
(8, 34);['m_011']
(8, 36);['m_011']
(8, 37);['m_011']
(8, 39);['m_011']
(8, 43);['m_011']
(8, 45);['m_011']
(8, 47);['m_011']
(8, 49);['m_011']
(8, 51);['m_011']
(8, 62);['m_-110']
(8, 63);['2_110']
(8, 66);['2_-101']
(8, 71);['m_101']
(8, 75);['m_011']
(8, 77);['m_011']
(8, 78);['m_011']
(8, 80);['m_011']
(8, 84);['m_011']
(8, 85);['2_001']
(8, 88);['m_011']
(8, 91);['2_010']
(8, 92);['m_011']
(9, 12);['m_0-11']
(9, 13);['m_0-11']
(9, 15);['m_0-11']
(9, 18);['m_0-11']
(9, 20);['m_0-11']
(9, 25);['2_-101']
(9, 30);['m_101']
(9, 31);['2_-110']
(9, 32);['m_110']
(9, 41);['m_0-11']
(9, 44);['m_0-11']
(9, 47);['m_0-11']
(9, 50);['m_0-11']
(9, 53);['m_0-11']
(9, 54);['m_0-11']
(9, 56);['m_0-11']
(9, 59);['m_0-11']
(9, 61);['m_0-11']
(9, 62);['2_110']
(9, 63);['m_-110']
(9, 64);['2_101']
(9, 69);['m_-101']
(9, 82);['m_0-11']
(9, 86);['2_001']
(9, 88);['m_0-11']
(9, 90);['2_010']
(9, 94);['m_0-11']
(10, 11);['m_110']
(10, 13);['m_-101']
(10, 17);['m_-101']
(10, 19);['m_110']
(10, 20);['m_110']
(10, 21);['m_-101']
(10, 26);['m_-101']
(10, 28);['m_110']
(10, 29);['m_110']
(10, 30);['m_110']
(10, 31);['m_-101']
(10, 33);['m_-101']
(10, 34);['m_011']
(10, 36);['m_011']
(10, 38);['m_110']
(10, 39);['m_011']
(10, 42);['m_-101']
(10, 43);['m_011']
(10, 45);['m_011']
(10, 46);['m_110']
(10, 48);['m_110']
(10, 49);['m_011']
(10, 51);['m_011']
(10, 52);['m_-101']
(10, 55);['m_-101']
(10, 56);['m_110']
(10, 57);['m_110']
(10, 59);['m_-101']
(10, 63);['m_-101']
(10, 64);['m_110']
(10, 65);['m_110']
(10, 66);['m_110']
(10, 68);['m_-101']
(10, 73);['m_-101']
(10, 74);['m_110']
(10, 77);['m_011']
(10, 78);['m_011']
(10, 79);['m_-101']
(10, 80);['m_011']
(10, 83);['m_110']
(10, 86);['m_011']
(10, 88);['m_011']
(10, 89);['m_-101']
(10, 90);['m_011']
(11, 12);['m_110']
(11, 19);['m_110']
(11, 20);['m_110']
(11, 24);['m_001']
(11, 28);['m_110']
(11, 30);['m_110']
(11, 37);['m_110']
(11, 38);['m_110']
(11, 41);['2_101']
(11, 42);['m_001']
(11, 43);['2_-101']
(11, 46);['m_110']
(11, 48);['m_110']
(11, 51);['m_-101']
(11, 52);['m_001']
(11, 53);['m_101']
(11, 56);['m_110']
(11, 57);['m_110']
(11, 64);['m_110']
(11, 66);['m_110']
(11, 70);['m_001']
(11, 74);['m_110']
(11, 75);['m_110']
(11, 82);['m_110']
(11, 84);['m_110']
(11, 87);['2_0-11']
(11, 88);['m_001']
(11, 89);['2_011']
(12, 13);['m_0-11']
(12, 15);['m_0-11']
(12, 16);['m_101']
(12, 18);['m_0-11']
(12, 19);['m_110']
(12, 22);['m_101']
(12, 27);['m_101']
(12, 28);['m_110']
(12, 29);['m_110']
(12, 30);['m_110']
(12, 32);['m_101']
(12, 36);['m_101']
(12, 37);['m_110']
(12, 38);['m_110']
(12, 40);['m_101']
(12, 41);['m_0-11']
(12, 42);['m_101']
(12, 44);['m_0-11']
(12, 46);['m_110']
(12, 48);['m_110']
(12, 50);['m_0-11']
(12, 52);['m_101']
(12, 53);['m_0-11']
(12, 54);['m_0-11']
(12, 57);['m_110']
