[0.0, 1.0, 1.0];	[2.0, 1.0, 1.0];	[('-4', '100'), ('2', '001'), ('2', '010'), ('2', '100'), ('m', '0-11'), ('m', '011')]
[1.0, 0.0, 1.0];	[1.0, 2.0, 1.0];	[('-4', '010'), ('2', '001'), ('2', '010'), ('2', '100'), ('m', '-101'), ('m', '101')]
[1.0, 1.0, 0.0];	[1.0, 1.0, 2.0];	[('-4', '001'), ('2', '001'), ('2', '010'), ('2', '100'), ('m', '-110'), ('m', '110')]
[0.0, 0.0, 0.0];	[0.25, 0.25, 0.25];	[('3', '111'), ('m', '0-11'), ('m', '-110'), ('m', '-101')]
[0.0, 0.0, 0.0];	[1.0, 1.0, 1.0];	[('3', '111'), ('m', '0-11'), ('m', '-110'), ('m', '-101')]
[0.0, 0.0, 0.0];	[1.25, 1.25, 1.25];	[('3', '111'), ('m', '0-11'), ('m', '-110'), ('m', '-101')]
[0.0, 0.0, 0.0];	[2.0, 2.0, 2.0];	[('3', '111'), ('m', '0-11'), ('m', '-110'), ('m', '-101')]
[0.0, 0.0, 2.0];	[0.75, 0.75, 1.25];	[('3', '11-1'), ('m', '-110'), ('m', '101'), ('m', '011')]
[0.0, 0.0, 2.0];	[1.0, 1.0, 1.0];	[('3', '11-1'), ('m', '-110'), ('m', '101'), ('m', '011')]
[0.0, 0.0, 2.0];	[1.75, 1.75, 0.25];	[('3', '11-1'), ('m', '-110'), ('m', '101'), ('m', '011')]
[0.0, 0.0, 2.0];	[2.0, 2.0, 0.0];	[('3', '11-1'), ('m', '-110'), ('m', '101'), ('m', '011')]
[0.0, 2.0, 0.0];	[0.75, 1.25, 0.75];	[('3', '1-11'), ('m', '-101'), ('m', '011'), ('m', '110')]
[0.0, 2.0, 0.0];	[1.0, 1.0, 1.0];	[('3', '1-11'), ('m', '-101'), ('m', '011'), ('m', '110')]
[0.0, 2.0, 0.0];	[1.75, 0.25, 1.75];	[('3', '1-11'), ('m', '-101'), ('m', '011'), ('m', '110')]
[0.0, 2.0, 0.0];	[2.0, 0.0, 2.0];	[('3', '1-11'), ('m', '-101'), ('m', '011'), ('m', '110')]
[0.0, 2.0, 2.0];	[0.25, 1.75, 1.75];	[('3', '-111'), ('m', '0-11'), ('m', '101'), ('m', '110')]
[0.0, 2.0, 2.0];	[1.0, 1.0, 1.0];	[('3', '-111'), ('m', '0-11'), ('m', '101'), ('m', '110')]
[0.0, 2.0, 2.0];	[1.25, 0.75, 0.75];	[('3', '-111'), ('m', '0-11'), ('m', '101'), ('m', '110')]
[0.0, 2.0, 2.0];	[2.0, 0.0, 0.0];	[('3', '-111'), ('m', '0-11'), ('m', '101'), ('m', '110')]
[0.25, 0.25, 0.25];	[1.0, 1.0, 1.0];	[('3', '111'), ('m', '0-11'), ('m', '-110'), ('m', '-101')]
[0.25, 0.25, 0.25];	[1.25, 1.25, 1.25];	[('3', '111'), ('m', '0-11'), ('m', '-110'), ('m', '-101')]
[0.25, 0.25, 0.25];	[2.0, 2.0, 2.0];	[('3', '111'), ('m', '0-11'), ('m', '-110'), ('m', '-101')]
[0.25, 1.75, 1.75];	[1.0, 1.0, 1.0];	[('3', '-111'), ('m', '0-11'), ('m', '101'), ('m', '110')]
[0.25, 1.75, 1.75];	[1.25, 0.75, 0.75];	[('3', '-111'), ('m', '0-11'), ('m', '101'), ('m', '110')]
[0.25, 1.75, 1.75];	[2.0, 0.0, 0.0];	[('3', '-111'), ('m', '0-11'), ('m', '101'), ('m', '110')]
[0.75, 0.75, 1.25];	[1.0, 1.0, 1.0];	[('3', '11-1'), ('m', '-110'), ('m', '101'), ('m', '011')]
